#Model_name_in_paper   Model_name_in_folder   galdef_filename
I                      bs                     085900bs
II                     0w                     0abf000w
III                    5q                     0859005q
IV                     9l                     0859009l
V                      9z                     0859009z
VI                     bh                     085900bh
VII                    ba                     085900ba
VIII                   22                     08590022
IX                     23                     08590023
X                      ch                     085900ch
XI                     24                     08590024
XII                    26                     08590026
XIII                   2c                     0859002c
XIV                    2e                     0859002e
XV                     c4                     085900c4
XVI                    2g                     0859002g
XVII                   2i                     0859002i
XVIII                  2p                     0859002p
XIX                    2q                     0859002q
XX                     2r                     0859002r
XXI                    2s                     0859002s
XXII                   2t                     0859002t
XXIII                  2u                     0859002u
XXIV                   2v                     0859002v
XXV                    2w                     0859002w
XXVI                   2y                     0859002y
XXVII                  2z                     0859002z
XXVIII                 30                     08590030
XXIX                   31                     08590031
XXX                    32                     08590032
XXXI                   3j                     0859003j
XXXII                  3z                     0859003z
XXXIII                 5s                     0859005s
XXXIV                  67                     08590067
XXXV                   6e                     0859006e
XXXVI                  6n                     0859006n
XXXVII                 6z                     0859006z
XXXVIII                70                     08590070
XXXIX                  71                     08590071
XL                     7c                     0859007c
XLI                    7n                     0859007n
XLII                   7o                     0859007o
XLIII                  7p                     0859007p
XLIV                   7t                     0859007t
XLV                    7u                     0859007u
XLVI                   80                     08590080
XLVII                  8f                     0859008f
XLVIII                 8l                     0859008l
XLIX                   8t                     0859008t
L                      93                     08590093
LI                     au                     085900au
LII                    ay                     085900ay
LIII                   bf                     085900bf
LIV                    cg                     085900cg
LV                     cv                     085900cv
LVI                    d1                     085900d1
LVII                   dy                     085900dy
LVIII                  0a                     0abf000a
LIX                    0b                     0abf000b
LX                     0c                     0abf000c
LXI                    0g                     0abf000g
LXII                   0t                     0abf000t
LXIII                  0u                     0abf000u
LXIV                   0v                     0abf000v
LXV                    14                     0abf0014
LXVI                   1c                     0abf001c
LXVII                  1d                     0abf001d
LXVIII                 1e                     0abf001e
LXIX                   1i                     0abf001i
LXX                    1j                     0abf001j
LXXI                   1k                     0abf001k
LXXII                  1nB                    0abf001n
LXXIII                 1oB                    0abf001o
LXXIV                  1pB                    0abf001p
LXXV                   1qB                    0abf001q
LXXVI                  1rB                    0abf001r
LXXVII                 1sB                    0abf001s
LXXVIII                1xB                    0abf001x
LXXIX                  1yB                    0abf001y
LXXX                   1zB                    0abf001z
