# BBN upper bound on m_chi * Y_chi (Kawasaki, Kohri, Moroi, Takaesu 2017 -- arXiv:1709.01211)
# Injection channel: bb_bar
# Parent particle mass: 1 TeV = 1000 GeV
# Columns: log10(tau/s)   m_chi*Y_chi [GeV]
1.6507177033e+00   2.7317550446e-10
1.3397129187e+00   3.0507443789e-10
1.0047846890e+00   3.2806903243e-10
6.6985645933e-01   3.8034500491e-10
4.3062200957e-01   4.7572472855e-10
1.6746411483e-01   6.1770646988e-10
-4.7846889952e-02   8.3308888221e-10
-2.1531100478e-01   1.2117410572e-09
-3.5885167464e-01   1.7628137329e-09
-4.5454545455e-01   2.5654246407e-09
-5.7416267943e-01   4.1784342520e-09
-6.6985645933e-01   6.3138308115e-09
-7.6555023923e-01   9.9060117322e-09
-8.1339712919e-01   1.6761544401e-08
-8.6124401914e-01   2.9447996734e-08
-9.0909090909e-01   4.6218717350e-08
-9.8086124402e-01   7.5305801418e-08
-1.0287081340e+00   1.2272049488e-07
-1.0526315789e+00   2.0768752416e-07
-1.0765550239e+00   3.6494738068e-07
-1.1004784689e+00   8.0354328552e-07
