# BBN upper bound on m_chi * Y_chi (Kawasaki, Kohri, Moroi, Takaesu 2017 -- arXiv:1709.01211)
# Injection channel: bb_bar
# Parent particle mass: 0.03 TeV = 30 GeV
# Columns: log10(tau/s)   m_chi*Y_chi [GeV]
1.6507177033e+00   5.8486279939e-11
1.3875598086e+00   6.0606783814e-11
1.0047846890e+00   6.5151500361e-11
7.1770334928e-01   7.2772384389e-11
5.2631578947e-01   8.4459360411e-11
2.6315789474e-01   1.0562036911e-10
4.7846889952e-02   1.3213072204e-10
-1.1961722488e-01   1.7168909085e-10
-2.1531100478e-01   2.1497572145e-10
-3.3492822967e-01   2.9014231583e-10
-4.3062200957e-01   4.2224441099e-10
-5.0239234450e-01   5.9192724936e-10
-5.9808612440e-01   9.2869740287e-10
-6.6985645933e-01   1.4035623685e-09
-7.1770334928e-01   1.8953426080e-09
-7.6555023923e-01   3.4574505779e-09
-8.1339712919e-01   4.8477310977e-09
-8.8516746411e-01   6.5451019300e-09
-9.8086124402e-01   9.5250935783e-09
-1.0047846890e+00   1.8044387881e-08
-1.0047846890e+00   4.6185475517e-08
-1.1722488038e+00   6.7177510257e-08
-1.2918660287e+00   9.0666230895e-08
-1.3157894737e+00   1.4232651387e-07
-1.3397129187e+00   2.5009537116e-07
-1.3397129187e+00   4.7386722758e-07
