# BBN upper bound on m_chi * Y_chi (Kawasaki, Kohri, Moroi, Takaesu 2017 -- arXiv:1709.01211)
# Injection channel: uu_bar
# Parent particle mass: 0.1 TeV = 100 GeV
# Columns: log10(tau/s)   m_chi*Y_chi [GeV]
1.6994757147e+00   5.9416141008e-11
1.4834306064e+00   6.6680433910e-11
1.1712335543e+00   7.4887432738e-11
9.7912751014e-01   8.0902734530e-11
8.1115837373e-01   9.0760922612e-11
6.1925017311e-01   1.0577287765e-10
4.0320506479e-01   1.1870480408e-10
2.1149470769e-01   1.4923300113e-10
6.7860322485e-02   1.8754400036e-10
-9.9614205164e-02   2.5429731498e-10
-1.9507369671e-01   3.3180458428e-10
-3.3831239490e-01   4.8524716110e-10
-4.3347512118e-01   7.0939046976e-10
-5.5237906816e-01   1.1621670888e-09
-6.2360273024e-01   1.6355024608e-09
-7.1836976951e-01   2.7823763106e-09
-7.4131961618e-01   4.2224195234e-09
-8.1224651301e-01   6.6577234187e-09
-8.5903650213e-01   1.0901131034e-08
-9.3016124246e-01   1.5933631503e-08
-9.5311108913e-01   2.4180221949e-08
-9.9920862598e-01   5.1621444298e-08
-9.9762587793e-01   9.4667176939e-08
-1.0681570877e+00   1.7370251773e-07
-1.1142546246e+00   3.7083095689e-07
-1.1603521614e+00   7.9167303035e-07
