# BBN upper bound on m_chi * Y_chi (Kawasaki, Kohri, Moroi, Takaesu 2017 -- arXiv:1709.01211)
# Injection channel: uu_bar
# Parent particle mass: 10 TeV = 10000 GeV
# Columns: log10(tau/s)   m_chi*Y_chi [GeV]
1.7070926897e+00   1.0999402060e-09
1.4188347018e+00   1.1891588854e-09
9.6250865565e-01   1.3886276694e-09
7.2252448313e-01   1.6188980777e-09
4.3466218221e-01   2.0367261258e-09
1.9497477495e-01   2.6604069033e-09
2.7302403799e-02   3.3439941267e-09
-1.1603521614e-01   4.7085322301e-09
-2.5947175784e-01   6.3832963795e-09
-3.7867247008e-01   9.3335421531e-09
-4.7383519636e-01   1.3644852321e-08
-5.6909684440e-01   1.9205720592e-08
-6.4022158473e-01   2.8072029747e-08
-6.8711049560e-01   4.4254663862e-08
-7.3399940647e-01   6.9766072891e-08
-7.8098723909e-01   1.0589340876e-07
-8.5191413592e-01   1.6696801999e-07
-9.4638440993e-01   3.1825827261e-07
-9.9317439905e-01   5.2110532599e-07
