# BBN upper bound on m_chi * Y_chi (Kawasaki, Kohri, Moroi, Takaesu 2017 -- arXiv:1709.01211)
# Injection channel: bb_bar
# Parent particle mass: 100 TeV = 100000 GeV
# Columns: log10(tau/s)   m_chi*Y_chi [GeV]
1.6507177033e+00   5.3239954066e-09
1.3875598086e+00   5.7283750202e-09
1.0287081340e+00   6.6399652135e-09
7.4162679426e-01   7.4166534641e-09
5.0239234450e-01   8.9342781018e-09
2.8708133971e-01   1.1176751477e-08
2.3923444976e-02   1.5068448842e-08
-1.9138755981e-01   2.3620215685e-08
-3.5885167464e-01   3.5672116208e-08
-4.7846889952e-01   5.5957287563e-08
-5.9808612440e-01   9.4631886160e-08
-6.9377990431e-01   1.5415936928e-07
-7.8947368421e-01   2.4186655714e-07
-8.1339712919e-01   3.9422358522e-07
-8.8516746411e-01   5.7381719381e-07
-9.5693779904e-01   8.3522697337e-07
