# BBN upper bound on m_chi * Y_chi (Kawasaki, Kohri, Moroi, Takaesu 2017 -- arXiv:1709.01211)
# Injection channel: uu_bar
# Parent particle mass: 100 TeV = 100000 GeV
# Columns: log10(tau/s)   m_chi*Y_chi [GeV]
1.7112474033e+00   5.4039761506e-09
1.3508754575e+00   5.8454997205e-09
1.1106934415e+00   6.3173389259e-09
8.9464833317e-01   7.0897048107e-09
6.5456523890e-01   7.9579511006e-09
4.8679394599e-01   9.6307060271e-09
1.9912948857e-01   1.3070506358e-08
5.5297259867e-02   1.5226831990e-08
-8.8139281828e-02   2.0642819623e-08
-2.0763675932e-01   2.6939452335e-08
-3.2693639331e-01   3.7925356043e-08
-4.4603818380e-01   5.7595921370e-08
-5.1706400237e-01   8.7437054455e-08
-6.1232565041e-01   1.2307144099e-07
-6.8345039074e-01   1.7988729638e-07
-7.3053714512e-01   2.6288424935e-07
-7.5378375705e-01   3.5606422523e-07
-8.0077158967e-01   5.4044685310e-07
-8.2382035810e-01   7.8965597637e-07
