# BBN upper bound on m_chi * Y_chi (Kawasaki, Kohri, Moroi, Takaesu 2017 -- arXiv:1709.01211)
# Injection channel: uu_bar
# Parent particle mass: 0.03 TeV = 30 GeV
# Columns: log10(tau/s)   m_chi*Y_chi [GeV]
1.6979918884e+00   3.3650827348e-11
1.5059847661e+00   3.7758139323e-11
1.2178256999e+00   4.2397668269e-11
8.5765159759e-01   4.9473353807e-11
5.6949253141e-01   5.5552388982e-11
3.7768325255e-01   6.7241708214e-11
1.8597289544e-01   8.4534758260e-11
1.8399446038e-02   1.1036041747e-10
-1.2503709566e-01   1.4961419373e-10
-3.1615392225e-01   2.3612004206e-10
-3.8747650608e-01   3.1992995253e-10
-5.3041843901e-01   5.2422443687e-10
-6.2538332179e-01   8.2672442288e-10
-6.9640914037e-01   1.2550601963e-09
-7.4339697299e-01   1.9049746801e-09
-7.9018696211e-01   3.1191410785e-09
-8.1323573054e-01   4.5574294302e-09
-8.6032248491e-01   6.6601502096e-09
-9.3144722524e-01   9.7348044769e-09
-9.7823721436e-01   1.5939439433e-08
-1.0011870610e+00   2.4189035825e-08
-9.9930754773e-01   4.9701508658e-08
-1.0214660204e+00   1.0214091006e-07
-1.0440201800e+00   1.8037965654e-07
-1.1147492334e+00   3.0681252398e-07
-1.1611435355e+00   5.8460323300e-07
-1.1839944604e+00   9.2144052019e-07
