# LUX-ZEPLIN (LZ) — 4.2 tonne-year exposure (280 live days)
# 90% CL upper limit on spin-independent WIMP-nucleon cross section
# Phys. Rev. Lett. 135, 011802 (2025) — arXiv:2410.17036
# HEPData: 10.17182/hepdata.155182.v2/t1
# mass [GeV/c^2]	sigma_SI [cm^2]
9.0	9.797484e-47
11.0	2.640455e-47
13.0	1.214361e-47
16.0	5.856844e-48
17.0	5.045162e-48
19.0	3.919409e-48
21.0	3.264671e-48
23.0	2.910810e-48
26.0	2.581072e-48
29.0	2.427706e-48
32.0	2.293122e-48
36.0	2.212290e-48
40.0	2.181683e-48
43.0	2.217871e-48
46.0	2.268199e-48
65.0	2.546041e-48
91.0	3.214861e-48
129.0	4.208920e-48
182.0	5.533572e-48
256.0	8.153751e-48
361.0	1.096973e-47
508.0	1.546308e-47
1008.0	3.056001e-47
2000.0	5.732896e-47
5000.0	1.444842e-46
10000.0	2.930032e-46
